speaker,private_bank,firstname,Info
FUHRER ,0,Jeffrey,https://www.bostonfed.org/news-and-events/press-releases/2019/boston-fed-executive-vice-president-jeff-fuhrer-announces-retirement-from-the-bank-in-2020.aspx
GAGNON ,0,Joseph,https://www.piie.com/experts/senior-research-staff/joseph-e-gagnon
GALLIN ,0,Joshua,https://www.federalreserve.gov/econres/joshua-gallin.htm
GEITHNER ,0,Timothy,
GIBSON ,0,Michael,https://www.federalreserve.gov/econres/michael-s-gibson.htm
GILLUM ,0,Rachel,Federal Reserve Bank of Chicago
GOODFRIEND ,0,Marvin,https://en.wikipedia.org/wiki/Marvin_Goodfriend
GOLDBERG,0,Linda,https://en.wikipedia.org/wiki/Linda_S._Goldberg
GRAMLICH ,0,Edward,
GREENLEE ,0,Mark,Fed of Cleverland
GREENSPAN ,0,Alan,"During his economics studies at New York University, Greenspan worked under Eugene Banks, a managing director at the Wall Street investment bank Brown Brothers Harriman, in the firm's equity research department."
GUYNN ,0,Jack,
HILTON ,0,William,https://www.linkedin.com/in/william-hilton-5116247/
HIRTLE ,0,Beverly,https://www.newyorkfed.org/medialibrary/media/research/economists/hirtle/hirtle_cv.pdf
HOENIG ,0,Thomas,"the first president to rise through the ranks of the organization. He became well known for his views on the ""too big to fail"" issue and his dissenting votes on the Federal Open Market Committee in 2010."
HOLCOMB ,0,Helen,https://www.dallasfed.org/news/releases/2016/nr160601b.aspx
JOHNSON,0,Kathleen,https://www.federalreserve.gov/econres/kathleen-w-johnson.htm
JORDAN ,1,Jerry,"From 1975 to 1980, Jordan worked in the commercial banking industry as senior vice president and economist at Pittsburgh National Bank. "
KAMIN ,0,Steven,https://www.federalreserve.gov/newsevents/pressreleases/other20191011a.htm
KELLEY ,0,Edward,"Upon graduation, Kelley returned to Houston to assume the presidency of his father’s company, which he expanded and transformed into a holding company with subsidiaries in manufacturing, distribution, and business services."
KOHN ,0,Donald,a veteran of the Federal Reserve 
KOLE ,0,Linda,https://www.linkedin.com/in/linda-kole-53760210/
KOS ,0,Dino,
KRIEGER,0,Sandy,https://www.linkedin.com/in/sandy-krieger-554b8ab0/
KROSZNER ,0,Randall,
LACKER ,0,Jefrrey,
LANG ,0,Richard,
LEAHY ,0,Michael,https://www.linkedin.com/in/michael-leahy-a9532636/details/experience/
LEBOW ,0,David,https://www.federalreserve.gov/econres/david-e-lebow.htm
LEHNERT ,0,Andreas,https://www.federalreserve.gov/econres/andreas-lehnert.htm
LIANG ,0,Nellie,https://en.wikipedia.org/wiki/Nellie_Liang
LINDSEY ,0,Lawrence,https://www.federalreservehistory.org/people/lawrence-b-lindsey
LOCKHART ,1,Dennis,Lockhart started his career with Citicorp/Citibank (now Citigroup)
LYON ,0,James,https://www.startribune.com/in-a-career-at-the-minneapolis-fed-jim-lyon-kept-a-steady-hand-as-banks-and-banking-changed/416484213/
MADIGAN ,0,Brian,
MATTINGLY ,0,Marybeth,https://www.bostonfed.org/people/bank/marybeth-mattingly.aspx
MCDONOUGH ,1,William,"McDonough retired from First Chicago Corporation and its bank, First National Bank of Chicago, in 1989 after a 22-year career there."
MCTEER ,0,Robert,
MEYER ,0,Laurence,"In 1982, Meyer cofounded an economic forecasting firm, Laurence H. Meyer & Associates, with two former students. "
MINEHAN ,0,Cathy,https://en.wikipedia.org/wiki/Cathy_Minehan
MISHKIN ,0,Frederic,
MOORE ,0,Kevin,https://www.federalreserve.gov/econres/kevin-b-moore.htm
MORIN ,0,Norman,https://www.federalreserve.gov/econres/norman-j-morin.htm
MOSKOW ,0,Michael,Temple University
MOSSER,0,Patricia,https://www.sipa.columbia.edu/sites/default/files/documents/PMosser%20CV%20June%202021.pdf
OLINER ,0,Stephen,https://www.aei.org/profile/stephen-d-oliner/
OLSON ,1,Mark,"In 1966, Olson began his banking career with First Bank System (now U.S. Bancorp) and was named an officer in 1969. From 1976 to 1988, he was President and CEO of Security State Bank, Fergus Falls, Minnesota."
PARKINSON ,0,Pat,https://bpi.com/people/pat-parkinson/
PARRY ,1,Robert,
PEACH ,1,Dick,https://www.linkedin.com/in/dick-peach-4ba2026/
PERELMUTER ,0,Deborah,https://www.newyorkfed.org/newsevents/news/aboutthefed/2010/oa100121b
PETERS ,1,Brian,https://www.businessinsurance.com/article/20110204/story/110209947/aig-hires-new-york-feds-peters-to-enterprise-risk-management-job-
PIANALTO ,0,Sandra,https://www.federalreservehistory.org/people/sandra-pianalto
PLOSSER ,0,Charles,
POOLE ,0,William,Brown Univ.
PRELL ,0,Michael,
REIFSCHNEIDER ,0,David,https://www.piie.com/experts/senior-research-staff/david-wilcox
REINHART ,0,Vincent,
ROBERTS ,0,John,
ROLNICK ,0,Arthur,https://twitter.com/artrolnick44
ROSENGREN ,0,Eric,
RUDEBUSCH ,0,Glenn,https://glennrudebusch.com/wp-content/uploads/CV-2022-Rudebusch.pdf
SACK ,0,Brian,https://www.wsj.com/articles/BL-REB-4451
SANTOMERO ,0,Anthony,
SAPENARO ,0,Dave,St.Louis for 35 years
SHEETS ,0,Nathan,Fed-Citigroup-Treasury
SICHEL ,0,Daniel,https://www.brookings.edu/author/daniel-e-sichel/
SIMPSON ,0,Thomas,https://thomasdsimpson.com/about/
SLIFMAN ,0,Larry,
SMITH ,0,Michelle,https://www.linkedin.com/in/michelle-smith-6a17426/
STEINDEL ,1,Charles,https://www.linkedin.com/in/charles-steindel-8b4915b/
STERN ,0,Gary,"Between his Fed positions, Stern was a partner in a New York-based consulting firm. He also served on the faculties of Columbia University, Washington University and New York University."
STEWART ,1,Jamie,https://en.wikipedia.org/wiki/Jamie_B._Stewart
STOCKTON ,0,David,
STONE ,0,William,https://www.linkedin.com/in/william-stone-069ab720/
STRUCKMEYER ,0,Charles,On a 1994 Bulletin of Fed
TETLOW ,0,Robert,https://www.federalreserve.gov/econres/robert-j-tetlow.htm
WARSH ,1,Kevin,"In 1995, Warsh accepted a position with the mergers and acquisitions department at Morgan Stanley & Co. in New York."
WASCHER ,0,William,https://www.federalreserve.gov/econres/william-l-wascher.htm
WHITESELL ,0,William,https://www.interdependence.org/programs-speaker/william-h-stone-jr/
WILCOX ,0,David,
YELLEN ,0,Janet,https://www.federalreservehistory.org/people/janet-l
WILLIAMS,0,John,https://en.wikipedia.org/wiki/John_C._Williams_(economist)
